class,counts,accuracy
-1,76,0.2894736842105263
-2,202,0.48514851485148514
-3,260,0.4
-4,64,0.484375
0,847,0.6729634002361276
1,92,0.40217391304347827
2,348,0.4482758620689655
3,1208,0.6572847682119205
4,291,0.5326460481099656
