,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator,param_kbest__k,param_preprocessor__text__tfidf__ngram_range,param_preprocessor__text__tfidf__tokenizer,param_preprocessor__text__tfidf__use_idf,param_clf__estimator__class_weight,param_clf__estimator__penalty,param_clf__estimator__alpha,param_clf__estimator__max_features,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_Balanced accuracy,split1_test_Balanced accuracy,split2_test_Balanced accuracy,split3_test_Balanced accuracy,split4_test_Balanced accuracy,mean_test_Balanced accuracy,std_test_Balanced accuracy,rank_test_Balanced accuracy,split0_test_Matthews correlation coefficient,split1_test_Matthews correlation coefficient,split2_test_Matthews correlation coefficient,split3_test_Matthews correlation coefficient,split4_test_Matthews correlation coefficient,mean_test_Matthews correlation coefficient,std_test_Matthews correlation coefficient,rank_test_Matthews correlation coefficient,learner
196,11.432372760772704,0.09950308925050079,2.8658552169799805,0.15892150404665686,BernoulliNB(),5000,"(2, 2)",<__main__.LemmaTokenizer object at 0x1a2a976150>,True,,,0.5,,"{'clf__estimator': BernoulliNB(), 'clf__estimator__alpha': 0.5, 'kbest__k': 5000, 'preprocessor__text__tfidf__ngram_range': (2, 2), 'preprocessor__text__tfidf__tokenizer': <__main__.LemmaTokenizer object at 0x1a2a976150>, 'preprocessor__text__tfidf__use_idf': True}",0.6310637685331798,0.6323592917806248,0.6263135166258816,0.6280408809558082,0.6348977828966311,0.6305350481584251,0.0030555871101519893,412,0.23341074754155158,0.21456279795336175,0.20839721550531834,0.20709569587135573,0.2047776274270771,0.2136488168597329,0.010397980372520228,425,0.5105639502691751,0.5108240037816413,0.5039335609996741,0.503625162008953,0.5095009341824219,0.5076895222483732,0.00322474163868961,418,BernoulliNB
361,10.959863090515137,0.20560667014321884,2.8484264850616454,0.29457493581135763,MultinomialNB(),5000,"(1, 1)",<__main__.LemmaTokenizer object at 0x1a2a976150>,False,,,1,,"{'clf__estimator': MultinomialNB(), 'clf__estimator__alpha': 1, 'kbest__k': 5000, 'preprocessor__text__tfidf__ngram_range': (1, 1), 'preprocessor__text__tfidf__tokenizer': <__main__.LemmaTokenizer object at 0x1a2a976150>, 'preprocessor__text__tfidf__use_idf': False}",0.6860515330358428,0.6886425795307327,0.6860515330358428,0.6915215200806103,0.6885977541030809,0.6881729839572219,0.002030504955559172,269,0.22284263446346686,0.21288670152808853,0.21162901798745962,0.21019691570624022,0.20911040459582483,0.21333313485621602,0.004923438254062812,426,0.5996531511556085,0.6031003397456232,0.6014827671422721,0.6038267571670818,0.600079610378553,0.6016285251178277,0.001632234480003093,270,MultinomialNB
238,4.191346549987793,0.4096710688770026,0.5752801418304443,0.0813221005333236,BernoulliNB(),10000,"(1, 3)",,True,,,1,,"{'clf__estimator': BernoulliNB(), 'clf__estimator__alpha': 1, 'kbest__k': 10000, 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__tokenizer': None, 'preprocessor__text__tfidf__use_idf': True}",0.6617244853893767,0.6631639556643155,0.6621563264718584,0.6646034259392544,0.6695940109415491,0.6642484408812708,0.002850422280072332,348,0.22346889559713012,0.2083202627564107,0.2082019132421632,0.21021371938107883,0.21118625754929038,0.21227820970521463,0.005709071158166212,427,0.5542194705905313,0.5548551150182445,0.5549761310163699,0.55604511556478,0.5604458934038752,0.5561083451187601,0.002246716027631549,361,BernoulliNB
400,11.699981451034546,0.3809492648281537,11.588204526901245,0.49392949076026293,KNeighborsClassifier(),10000,"(2, 2)",<__main__.LemmaTokenizer object at 0x1a2a976150>,True,,,,,"{'clf__estimator': KNeighborsClassifier(), 'kbest__k': 10000, 'preprocessor__text__tfidf__ngram_range': (2, 2), 'preprocessor__text__tfidf__tokenizer': <__main__.LemmaTokenizer object at 0x1a2a976150>, 'preprocessor__text__tfidf__use_idf': True}",0.6408521664027638,0.6361019144954657,0.6307758744781921,0.6447387361450986,0.6374892024186583,0.6379915787880356,0.004681809388360923,401,0.21838489158175706,0.20156437857707316,0.2076355499344782,0.21045114216899866,0.21382697459588684,0.2103725873716388,0.005678237346356655,428,0.538625180754547,0.5327326265380338,0.5270918801387817,0.5428493793353035,0.5319181824036529,0.5346434498340638,0.005500836176456468,395,KNeighborsClassifier
402,1.7096899032592774,0.136567867874053,9.312229585647582,0.1682982759313124,KNeighborsClassifier(),10000,"(2, 2)",,True,,,,,"{'clf__estimator': KNeighborsClassifier(), 'kbest__k': 10000, 'preprocessor__text__tfidf__ngram_range': (2, 2), 'preprocessor__text__tfidf__tokenizer': None, 'preprocessor__text__tfidf__use_idf': True}",0.6461782064200374,0.6366777026054412,0.6420037426227149,0.6477616237224701,0.6389288799308955,0.6423100310603118,0.004193608531043178,395,0.21859103402779406,0.1972184844439957,0.21053301569015803,0.20752050859999563,0.20932981412883203,0.20863857137815506,0.006852542572560439,429,0.5467017455907023,0.5318106837018188,0.5414237420472177,0.5471895088602429,0.5323163213845504,0.5398884003169064,0.00670329798057439,384,KNeighborsClassifier
358,4.786672687530517,0.5272556277366397,0.5657283306121826,0.030059883908189127,MultinomialNB(),10000,"(1, 3)",,True,,,0.5,,"{'clf__estimator': MultinomialNB(), 'clf__estimator__alpha': 0.5, 'kbest__k': 10000, 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__tokenizer': None, 'preprocessor__text__tfidf__use_idf': True}",0.6520800345472866,0.6515042464373111,0.6496329350798906,0.6558226572621275,0.6543334293118341,0.65267466052769,0.0021742557447825164,371,0.21937012347221885,0.20148134683223057,0.20041427521677135,0.2050625718929605,0.20280116830893208,0.20582589714462265,0.006947495751554515,430,0.5473458000994932,0.5454077588878979,0.5450453792592588,0.5490257308538422,0.5455177557695903,0.5464684849740165,0.0015075439658313878,374,MultinomialNB
375,0.8428836345672608,0.0435619330189577,0.20097651481628417,0.010133810111548342,MultinomialNB(),10000,"(1, 1)",,False,,,1,,"{'clf__estimator': MultinomialNB(), 'clf__estimator__alpha': 1, 'kbest__k': 10000, 'preprocessor__text__tfidf__ngram_range': (1, 1), 'preprocessor__text__tfidf__tokenizer': None, 'preprocessor__text__tfidf__use_idf': False}",0.6746797178638261,0.6774147113862099,0.6713689362314669,0.6847560097883979,0.6782320760149726,0.6772902902569746,0.004438849645313731,308,0.21639551092494286,0.2039067330469458,0.19948313418223665,0.20483358112366465,0.2023080459486368,0.20538540104528535,0.005796901799251983,431,0.5875868301072648,0.5903200421623008,0.5843536878207709,0.5970472716818691,0.5884127445706877,0.5895441152685786,0.004217841169518,291,MultinomialNB
403,1.6998630046844483,0.035575322719078914,9.146015119552612,0.39602244236648865,KNeighborsClassifier(),10000,"(2, 2)",,False,,,,,"{'clf__estimator': KNeighborsClassifier(), 'kbest__k': 10000, 'preprocessor__text__tfidf__ngram_range': (2, 2), 'preprocessor__text__tfidf__tokenizer': None, 'preprocessor__text__tfidf__use_idf': False}",0.6235785231034979,0.6320713977256369,0.6316395566431553,0.6425795307326904,0.6327382666282753,0.6325214549666511,0.006036028858350112,410,0.2066139094240676,0.19756480288125988,0.20718699661122064,0.20569557161136193,0.20238697046833717,0.20388965019924946,0.003572594961672728,432,0.5154462666238551,0.5266096067072534,0.5268500875774134,0.540431886245669,0.5260006500472133,0.5270676994402808,0.007937946686116842,402,KNeighborsClassifier
209,11.684306144714355,0.37313369897409826,3.13694052696228,0.6289994166364786,BernoulliNB(),10000,"(2, 2)",<__main__.LemmaTokenizer object at 0x1a2a976150>,False,,,0.5,,"{'clf__estimator': BernoulliNB(), 'clf__estimator__alpha': 0.5, 'kbest__k': 10000, 'preprocessor__text__tfidf__ngram_range': (2, 2), 'preprocessor__text__tfidf__tokenizer': <__main__.LemmaTokenizer object at 0x1a2a976150>, 'preprocessor__text__tfidf__use_idf': False}",0.6359579674679718,0.6407082193752699,0.6326471858356125,0.6386929609903556,0.6372012669162108,0.6370415201170841,0.00270856860974344,403,0.21850289322487657,0.20260255254864643,0.1972323608789034,0.2007330805199723,0.19914612740162768,0.20364340291480526,0.007637862858538764,433,0.5172402153748875,0.5223306865683707,0.5124676786710597,0.5188463638952294,0.5130340279049148,0.5167837944828925,0.0036856513538252498,408,BernoulliNB
318,1.765986728668213,0.18491370904033236,0.2967196464538574,0.03882570443787857,MultinomialNB(),5000,"(2, 2)",,True,,,0.1,,"{'clf__estimator': MultinomialNB(), 'clf__estimator__alpha': 0.1, 'kbest__k': 5000, 'preprocessor__text__tfidf__ngram_range': (2, 2), 'preprocessor__text__tfidf__tokenizer': None, 'preprocessor__text__tfidf__use_idf': True}",0.6008348927594646,0.6021304160069094,0.6004030516769828,0.5995393695120196,0.6046645551396487,0.601514457019005,0.0017832848186329125,439,0.21662580148002683,0.20234531270788014,0.2045338107886867,0.1937774113100862,0.1948027172500191,0.2024170107073398,0.00823402527332452,434,0.468180123565544,0.46791486457564574,0.4673980824174801,0.46211355393371867,0.46513406560100323,0.4661481380186784,0.002285557288573622,452,MultinomialNB
