,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_selectperc__percentile,param_preprocessor__text__tfidf__use_idf,param_preprocessor__text__tfidf__norm,param_preprocessor__text__tfidf__ngram_range,param_preprocessor__text__tfidf__min_df,param_preprocessor__text__tfidf__max_df,param_clf__estimator__alpha,param_clf__estimator,param_clf__estimator__class_weight,param_clf__estimator__penalty,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_Balanced Accuracy,split1_test_Balanced Accuracy,split2_test_Balanced Accuracy,split3_test_Balanced Accuracy,split4_test_Balanced Accuracy,mean_test_Balanced Accuracy,std_test_Balanced Accuracy,rank_test_Balanced Accuracy,split0_test_Matthews Correlation Coefficient,split1_test_Matthews Correlation Coefficient,split2_test_Matthews Correlation Coefficient,split3_test_Matthews Correlation Coefficient,split4_test_Matthews Correlation Coefficient,mean_test_Matthews Correlation Coefficient,std_test_Matthews Correlation Coefficient,rank_test_Matthews Correlation Coefficient,split0_test_Class Balance Accuracy,split1_test_Class Balance Accuracy,split2_test_Class Balance Accuracy,split3_test_Class Balance Accuracy,split4_test_Class Balance Accuracy,mean_test_Class Balance Accuracy,std_test_Class Balance Accuracy,rank_test_Class Balance Accuracy,learner
27,4.428687477111817,0.1509165614135985,0.9778338432312011,0.07316699366645545,50,False,l2,"(1, 1)",1,0.7,1,BernoulliNB(),,,"{'selectperc__percentile': 50, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (1, 1), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__alpha': 1, 'clf__estimator': BernoulliNB()}",0.6476176766949763,0.6500647761623722,0.6438750539801353,0.643011371815172,0.654909300316729,0.647895635793877,0.004335782143343361,55,0.24299107439693118,0.2234785111694793,0.2168948096881302,0.22167899753436415,0.2264035015814235,0.2262893788740657,0.008903641736619047,88,0.5369263101978438,0.5385807772007968,0.5316425138560055,0.528799399108686,0.5413841575988312,0.5354666315924327,0.004602641502267471,61,0.22616967787611375,0.20729215552206542,0.20046774314382187,0.2077134620083705,0.21087827285479338,0.21050426228103297,0.008536779744849779,83,BernoulliNB
20,5.3581774711608885,0.18427311393197945,1.026038932800293,0.08923417085951901,50,False,,"(1, 1)",3,0.95,,Perceptron(),balanced,elasticnet,"{'selectperc__percentile': 50, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': None, 'preprocessor__text__tfidf__ngram_range': (1, 1), 'preprocessor__text__tfidf__min_df': 3, 'preprocessor__text__tfidf__max_df': 0.95, 'clf__estimator__penalty': 'elasticnet', 'clf__estimator__class_weight': 'balanced', 'clf__estimator': Perceptron()}",0.4564560241831006,0.42363610191449547,0.4567439182380884,0.5176335108680006,0.36423841059602646,0.4437415931599423,0.05003142918659623,99,0.3111878726450362,0.336463416200346,0.33667994643683485,0.3329070659454815,0.2402082426761868,0.311489308780777,0.03687295984224784,64,0.3729357482317134,0.3365720875966177,0.3712622924311934,0.4230802633538169,0.30115292684982653,0.3610006636926336,0.040694301558573356,96,0.20980951181410884,0.187013427329597,0.22294876615358405,0.2525092007607323,0.1398696863817575,0.20243011848795592,0.03777530108618129,84,Perceptron
50,4.304779720306397,0.11420672178550043,0.9581599235534668,0.03299031529251855,50,True,l2,"(2, 2)",3,0.95,0.5,BernoulliNB(),,,"{'selectperc__percentile': 50, 'preprocessor__text__tfidf__use_idf': True, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (2, 2), 'preprocessor__text__tfidf__min_df': 3, 'preprocessor__text__tfidf__max_df': 0.95, 'clf__estimator__alpha': 0.5, 'clf__estimator': BernoulliNB()}",0.621131423636102,0.6349503382755146,0.6218511587735713,0.6227148409385346,0.6348977828966311,0.6271091089040707,0.006400572979173467,64,0.22898247706538916,0.22308698945345812,0.21084925455415388,0.2108458702342625,0.21188781219133576,0.2171304806997199,0.007515124989889111,89,0.49945904382723305,0.5163717076030389,0.49986989524353453,0.4988891786855107,0.511816524672809,0.5052812700064253,0.007345032138798363,68,0.2111693957965847,0.20650792105564117,0.19380480622867474,0.1949552958589137,0.195807497096419,0.2004489832072467,0.007035723923764629,85,BernoulliNB
29,4.585327625274658,0.1833837730799391,1.0330357074737548,0.040662629412484566,50,True,l2,"(2, 2)",3,0.7,0.5,BernoulliNB(),,,"{'selectperc__percentile': 50, 'preprocessor__text__tfidf__use_idf': True, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (2, 2), 'preprocessor__text__tfidf__min_df': 3, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__alpha': 0.5, 'clf__estimator': BernoulliNB()}",0.621131423636102,0.6349503382755146,0.6218511587735713,0.6227148409385346,0.6348977828966311,0.6271091089040707,0.006400572979173467,64,0.22898247706538916,0.22308698945345812,0.21084925455415388,0.2108458702342625,0.21188781219133576,0.2171304806997199,0.007515124989889111,89,0.49945904382723305,0.5163717076030389,0.49986989524353453,0.4988891786855107,0.511816524672809,0.5052812700064253,0.007345032138798363,68,0.2111693957965847,0.20650792105564117,0.19380480622867474,0.1949552958589137,0.195807497096419,0.2004489832072467,0.007035723923764629,85,BernoulliNB
12,4.72401909828186,0.14053830016615787,1.0938244819641114,0.07450709686131451,50,False,l2,"(1, 1)",1,0.95,1,MultinomialNB(),,,"{'selectperc__percentile': 50, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (1, 1), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.95, 'clf__estimator__alpha': 1, 'clf__estimator': MultinomialNB()}",0.6964157190154023,0.6988628184827983,0.6923852022455736,0.6988628184827983,0.6993953354448603,0.6971843787342866,0.002613257824557286,37,0.2432940527443228,0.23099604695262044,0.2230822054308323,0.2215869035018345,0.2257450159117066,0.22894084490826333,0.007859463904608045,87,0.6127997599417929,0.6158351266559475,0.6089497806094951,0.6129261984216949,0.6137684950076168,0.6128558721273094,0.0022349265481736726,35,0.21126610168015666,0.20121393222059925,0.19160057376726491,0.1925351898906219,0.19575226532021012,0.1984736125757706,0.007225875539721542,87,MultinomialNB
47,6.308830213546753,0.6423477742963984,1.2118943214416504,0.053897764690325256,50,False,,"(1, 3)",3,0.7,1,BernoulliNB(),,,"{'selectperc__percentile': 50, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': None, 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 3, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__alpha': 1, 'clf__estimator': BernoulliNB()}",0.6299121923132287,0.6427234777601842,0.635670073412984,0.6373974377429106,0.6442556867261733,0.6379917735910962,0.005150704661513958,61,0.22287616104319236,0.21201496131561473,0.2085986174659002,0.21165044756967324,0.214390632607341,0.2139061640003443,0.004848309214674443,91,0.511619492423627,0.5271922053736964,0.5192223094646286,0.5193501540348819,0.5249552331968687,0.5204678788987406,0.005411979498079687,65,0.2051547587620861,0.19661040537292737,0.19284181982178833,0.19682376354987902,0.19928270632801154,0.1981426907669385,0.004065843906443027,88,BernoulliNB
84,6.920857048034668,0.1134988985134252,1.348517942428589,0.03583290796750931,50,False,l2,"(1, 3)",1,0.7,0.1,BernoulliNB(),,,"{'selectperc__percentile': 50, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__alpha': 0.1, 'clf__estimator': BernoulliNB()}",0.6385490139628617,0.6379732258528862,0.6376853317978983,0.6391248020728372,0.6471350417506478,0.6400934830874262,0.0035553328836052515,60,0.2233989426695681,0.20422328216139773,0.20403922076736983,0.20562455676311722,0.20984377549850022,0.20942595557199062,0.007293206390837474,92,0.5209078646991085,0.5186231798517624,0.5197879394287498,0.5193116423887788,0.527193140375009,0.5211647533486816,0.0031047278321148686,64,0.2007046335962166,0.1822374493228808,0.18166069544121816,0.18482242393462303,0.1884721230681839,0.1875794650726245,0.006989093347874659,89,BernoulliNB
30,4.527258443832397,0.29173097796865954,5.550661897659301,0.33425282954150665,10,False,l2,"(2, 2)",3,0.95,,KNeighborsClassifier(),,,"{'selectperc__percentile': 10, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (2, 2), 'preprocessor__text__tfidf__min_df': 3, 'preprocessor__text__tfidf__max_df': 0.95, 'clf__estimator': KNeighborsClassifier()}",0.581977832157766,0.5835612494601986,0.5747804807830719,0.5809702029653088,0.5829254247048661,0.5808430380142424,0.0031554250632327566,78,0.21456987172873748,0.20400717643333222,0.20408878121977284,0.20456427210010322,0.19861142231073242,0.20516830475853562,0.005181903403968194,93,0.44407292997310677,0.4445642785406399,0.43294884005081957,0.43895343636546813,0.4379578717393363,0.4396994713338741,0.0042884554251994365,87,0.19013845110948607,0.1818259192919109,0.1821870769235377,0.18381574824482644,0.17538627190023487,0.18267069349399917,0.004713573603572839,90,KNeighborsClassifier
96,5.865667343139648,0.24117226194046754,1.0679845333099365,0.09515109028734357,50,True,l2,"(2, 2)",1,0.7,,Perceptron(),balanced,elasticnet,"{'selectperc__percentile': 50, 'preprocessor__text__tfidf__use_idf': True, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (2, 2), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__penalty': 'elasticnet', 'clf__estimator__class_weight': 'balanced', 'clf__estimator': Perceptron()}",0.5290053260400173,0.49301856916654674,0.4863970059018281,0.5167698287030373,0.4788367405701123,0.5008054940763083,0.018978711044198984,94,0.3022297527057925,0.26160477219411465,0.3000362418016727,0.33357629349462714,0.3080804100671112,0.3011054940526637,0.023089896297084783,67,0.41480892596394703,0.3772336097900018,0.3762499345200205,0.40074549965892475,0.37072028798022405,0.3879516515826237,0.016933530225401144,95,0.19612085310398147,0.16753987365669426,0.173897412689977,0.18214743610340195,0.19017868683707498,0.18197685247822593,0.010402457826012488,91,Perceptron
5,5.785688877105713,0.9269292027698146,110.51467208862304,7.527512610756166,10,False,,"(2, 2)",3,0.95,,KNeighborsClassifier(),,,"{'selectperc__percentile': 10, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': None, 'preprocessor__text__tfidf__ngram_range': (2, 2), 'preprocessor__text__tfidf__min_df': 3, 'preprocessor__text__tfidf__max_df': 0.95, 'clf__estimator': KNeighborsClassifier()}",0.5685907586008349,0.5734849575356269,0.5772275802504678,0.5870159781200518,0.5716959401094155,0.5756030429232795,0.006353236668965616,80,0.20222403288999216,0.18860215188908483,0.21033259950777147,0.20398102971167395,0.19662050618914048,0.20035206403753256,0.0073248850775081585,94,0.42082857581479466,0.4264155400120713,0.43356738353043917,0.444659183485926,0.4177279649971984,0.42863972956808594,0.009653314721769035,89,0.17851364098863728,0.16877236883326163,0.18797688835064322,0.1826924461866115,0.17615283579800067,0.17882163603143086,0.0064343910844529085,92,KNeighborsClassifier
