,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_selectperc__percentile,param_preprocessor__text__tfidf__use_idf,param_preprocessor__text__tfidf__norm,param_preprocessor__text__tfidf__ngram_range,param_preprocessor__text__tfidf__min_df,param_preprocessor__text__tfidf__max_df,param_clf__estimator__penalty,param_clf__estimator__class_weight,param_clf__estimator,param_clf__estimator__alpha,param_clf__estimator__loss,param_clf__estimator__max_features,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_Balanced Accuracy,split1_test_Balanced Accuracy,split2_test_Balanced Accuracy,split3_test_Balanced Accuracy,split4_test_Balanced Accuracy,mean_test_Balanced Accuracy,std_test_Balanced Accuracy,rank_test_Balanced Accuracy,split0_test_Matthews Correlation Coefficient,split1_test_Matthews Correlation Coefficient,split2_test_Matthews Correlation Coefficient,split3_test_Matthews Correlation Coefficient,split4_test_Matthews Correlation Coefficient,mean_test_Matthews Correlation Coefficient,std_test_Matthews Correlation Coefficient,rank_test_Matthews Correlation Coefficient,split0_test_Class Balance Accuracy,split1_test_Class Balance Accuracy,split2_test_Class Balance Accuracy,split3_test_Class Balance Accuracy,split4_test_Class Balance Accuracy,mean_test_Class Balance Accuracy,std_test_Class Balance Accuracy,rank_test_Class Balance Accuracy,learner
37,8.889345359802245,0.3105476867665438,1.4725447177886963,0.1418208499337671,70,False,l2,"(1, 3)",1,0.7,l2,,Perceptron(),,,,"{'selectperc__percentile': 70, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__penalty': 'l2', 'clf__estimator__class_weight': None, 'clf__estimator': Perceptron()}",0.66258816755434,0.6582697567295235,0.6460342593925436,0.6641715848567727,0.6572127843363087,0.6576553105738977,0.006362658447974838,35,0.3728523984512802,0.3485372126247933,0.3212055884810311,0.3611333304908334,0.36347075298580783,0.3534398566067492,0.017887085637703304,21,0.5767992158295391,0.5714893059199158,0.5570729681591395,0.5768861479559094,0.5674692805991416,0.5699433836927291,0.007339796557939231,29,0.2687203902995946,0.2623042950699159,0.24204263921091657,0.2831472695152267,0.3008314996474872,0.2714092187486282,0.01977866464885259,39,Perceptron
60,9.682949781417847,0.6190362168727627,1.5959778785705567,0.19227713466320162,100,False,,"(1, 3)",1,0.7,l2,,Perceptron(),,,,"{'selectperc__percentile': 100, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': None, 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__penalty': 'l2', 'clf__estimator__class_weight': None, 'clf__estimator': Perceptron()}",0.6647473729667482,0.6021304160069094,0.6276090398733266,0.5999712105945012,0.6256838468183127,0.6240283772519597,0.023374628598497985,45,0.3285093170249166,0.28542220914364785,0.3298588091298764,0.3556467067143666,0.32852267514064565,0.32559194343069064,0.022592931410812225,31,0.5707265951057376,0.5127087001356365,0.5377947630079355,0.5071658698911163,0.5408434047128944,0.5338478665706641,0.022730373811817466,39,0.2837281853227789,0.2325615112866566,0.28526823767317255,0.24802218005922777,0.3037432326546021,0.27066466939928757,0.026239832252970115,40,Perceptron
75,10.412331438064575,0.4775431133889766,1.2822175025939941,0.08926044896172847,100,True,l2,"(2, 3)",1,0.95,elasticnet,,"SGDClassifier(class_weight='balanced', loss='log', max_iter=10000,
              penalty='elasticnet')",,hinge,,"{'selectperc__percentile': 100, 'preprocessor__text__tfidf__use_idf': True, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (2, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.95, 'clf__estimator__penalty': 'elasticnet', 'clf__estimator__loss': 'hinge', 'clf__estimator__class_weight': None, 'clf__estimator': SGDClassifier(class_weight='balanced', loss='log', max_iter=10000,
              penalty='elasticnet')}",0.6725205124514179,0.6657550021592055,0.6660428962141932,0.6719447243414424,0.6713216239562338,0.6695169518244984,0.002979718946624409,29,0.2981046640520425,0.2861140258505501,0.2974524390866401,0.2914836558639705,0.2897048381334901,0.29257192459733866,0.004594335586456463,46,0.571200585014561,0.5610430068416061,0.5614618957622184,0.5668312881019856,0.5640587189730886,0.564919098938692,0.003763778212150004,31,0.27424084932505977,0.2572399636778762,0.27400549263242346,0.2701618522782702,0.268024929929714,0.26873461756866873,0.006209161547634084,41,SGDClassifier
46,6.682045221328735,0.4664070964532478,1.2961238384246827,0.1146234231689329,100,False,l2,"(2, 3)",3,0.7,,,MultinomialNB(),0.1,,,"{'selectperc__percentile': 100, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (2, 3), 'preprocessor__text__tfidf__min_df': 3, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__alpha': 0.1, 'clf__estimator': MultinomialNB()}",0.6959838779329207,0.6978551892903412,0.6982870303728228,0.7021736001151576,0.7061618197523755,0.7000923034927236,0.0036418038066077293,22,0.2854142378172099,0.2748046149645913,0.28474247392390406,0.27843961500125197,0.295031458050877,0.2836864799515669,0.0069170212669824255,52,0.6035036059241333,0.6052357433411544,0.6070439824066433,0.6106745733381588,0.6135648852399725,0.6080045580500124,0.003657699566569771,23,0.27012527877611053,0.2595080596710466,0.26796565865851185,0.263389606966524,0.2795311899888473,0.2681039588122081,0.00679413083570317,42,MultinomialNB
52,13.69599003791809,0.3194981062878653,1.3163298606872558,0.0867013176453604,85,False,,"(2, 3)",3,0.7,,balanced,RidgeClassifier(),1.0,,,"{'selectperc__percentile': 85, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': None, 'preprocessor__text__tfidf__ngram_range': (2, 3), 'preprocessor__text__tfidf__min_df': 3, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__class_weight': 'balanced', 'clf__estimator__alpha': 1.0, 'clf__estimator': RidgeClassifier()}",0.6083201381891464,0.6067367208867137,0.6104793436015546,0.6120627609039874,0.6226605240426144,0.6120518975248033,0.005607015799554921,47,0.3468680878989394,0.35025920015004997,0.33815368313540106,0.35070024655864224,0.34715401929449,0.3466270474075045,0.00451480202990016,24,0.5050230485320281,0.5030324529289945,0.5077236480334026,0.5083309181622299,0.517571948417686,0.5083364032148683,0.004995618121530589,45,0.26416814209457057,0.26229331494201036,0.2597246091260172,0.27125644074465516,0.2722766396796728,0.2659438293173852,0.004969634742486849,43,RidgeClassifier
57,6.521173810958862,0.11177964462319571,1.1327659606933593,0.04134112353153106,70,True,l2,"(2, 3)",3,0.7,elasticnet,,"SGDClassifier(class_weight='balanced', loss='log', max_iter=10000,
              penalty='elasticnet')",,hinge,,"{'selectperc__percentile': 70, 'preprocessor__text__tfidf__use_idf': True, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (2, 3), 'preprocessor__text__tfidf__min_df': 3, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__penalty': 'elasticnet', 'clf__estimator__loss': 'hinge', 'clf__estimator__class_weight': None, 'clf__estimator': SGDClassifier(class_weight='balanced', loss='log', max_iter=10000,
              penalty='elasticnet')}",0.6620123794443645,0.665035267021736,0.6574060745645602,0.6669065783791565,0.6687302044342067,0.6640181007688047,0.003983055600968439,32,0.2994776372659853,0.2791611516485487,0.2912736576784658,0.2896238554092492,0.2901290761661268,0.2899330756336752,0.006466284816941486,48,0.5561366002320582,0.5584756340558855,0.5498435117024097,0.5601215524645978,0.5595822613017207,0.5568319119513344,0.0037525771154980256,34,0.2765707092213035,0.2586704972475534,0.24706320640412044,0.2683840845665496,0.26504466695394585,0.26314663287869455,0.009899006581844734,44,SGDClassifier
19,6.845245981216431,0.12188334986523386,1.2224125385284423,0.03009671866873922,70,True,l2,"(2, 3)",1,0.7,,,NearestCentroid(),,,,"{'selectperc__percentile': 70, 'preprocessor__text__tfidf__use_idf': True, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (2, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator': NearestCentroid()}",0.46451705772275803,0.4630775874478192,0.4581833885130272,0.4591910177054844,0.452202706593723,0.4594343515965623,0.004313418099353599,85,0.3028835811313594,0.28340341914475653,0.29687675217856235,0.3010481616717011,0.2948060047670479,0.2958035837786855,0.006834367520660185,43,0.39370061221183944,0.3940599001902312,0.3851623602899482,0.3902888720852618,0.38186440321850096,0.38901522959915635,0.0047958856663230885,71,0.2618739891135076,0.24510294902567958,0.25668053061858276,0.26192872760128383,0.25772830799514534,0.2566629008708398,0.0061587703584218695,45,NearestCentroid
47,881.260930967331,7.903357183362828,2.892676258087158,0.16814617201942555,100,False,,"(2, 3)",3,0.7,,,RandomForestClassifier(),,,0.666,"{'selectperc__percentile': 100, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': None, 'preprocessor__text__tfidf__ngram_range': (2, 3), 'preprocessor__text__tfidf__min_df': 3, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__max_features': 0.666, 'clf__estimator': RandomForestClassifier()}",0.6166690657837915,0.6241543112134734,0.6278969339283144,0.6329350798906003,0.6264036855744314,0.6256118152781222,0.005321205070523505,44,0.2518254277413454,0.2455504911300291,0.2745860510555564,0.2630018643866645,0.2748271116547482,0.26195818919366876,0.01181563987956573,58,0.4960484517109676,0.5059223005884065,0.5112722844446972,0.516405608674274,0.5043464390980298,0.506799016903275,0.006850622589128025,46,0.23819505526745616,0.2326796281146663,0.2523955180307849,0.2505075850903787,0.25895611545441743,0.24654678039154065,0.009653357212452866,46,RandomForestClassifier
27,139.3857493877411,2.268224518285807,3.301083517074585,0.16893984953302535,85,True,l2,"(2, 3)",3,0.95,,,RandomForestClassifier(),,,sqrt,"{'selectperc__percentile': 85, 'preprocessor__text__tfidf__use_idf': True, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (2, 3), 'preprocessor__text__tfidf__min_df': 3, 'preprocessor__text__tfidf__max_df': 0.95, 'clf__estimator__max_features': 'sqrt', 'clf__estimator': RandomForestClassifier()}",0.6432992658701597,0.6483374118324456,0.6432992658701597,0.6522239815747805,0.6479988482579903,0.6470317546811072,0.0033900494434851414,38,0.25614087684165887,0.25170829353903384,0.2769295709011815,0.27079163295707254,0.2769272667261772,0.26649952819302475,0.010602150400026426,55,0.5300021371411591,0.5360428019273921,0.5301667756737982,0.540025243609113,0.5320457006721047,0.5336565318047134,0.0038570079153131985,40,0.23244996937730356,0.22971398471767987,0.25579888241110504,0.25113896007092723,0.25505524432793925,0.24483140818099097,0.011370435756035266,47,RandomForestClassifier
67,8.32296404838562,0.1752100487663861,1.2695165157318116,0.09066747423233103,85,True,l2,"(2, 3)",1,0.7,l2,,Perceptron(),,,,"{'selectperc__percentile': 85, 'preprocessor__text__tfidf__use_idf': True, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (2, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__penalty': 'l2', 'clf__estimator__class_weight': None, 'clf__estimator': Perceptron()}",0.6068806679142076,0.6143659133438895,0.6042896214193177,0.6077443500791708,0.5977541030809099,0.6062069311674991,0.005376112863405841,48,0.27954811693550674,0.3208196843012045,0.28463347965353875,0.3173913165755873,0.2754359454886639,0.29556570859090026,0.0194700009635739,44,0.4979547320397511,0.5056330761560034,0.49585425304134184,0.49970330773424637,0.4833242949314308,0.49649393278055476,0.0073458357584674575,47,0.23141175933659797,0.2421016837650809,0.2441662953243265,0.25771829271996927,0.2464097620469083,0.24436155863857661,0.00843136936316057,48,Perceptron
