class,counts,accuracy
-1,70,0.14285714285714285
-2,182,0.33516483516483514
-3,246,0.4959349593495935
-4,47,0.2127659574468085
0,1593,0.8141870684243565
1,82,0.3048780487804878
2,320,0.521875
3,1038,0.6772639691714836
4,224,0.3794642857142857
