class,counts,accuracy
-1,76,0.13157894736842105
-2,202,0.42574257425742573
-3,260,0.4461538461538462
-4,64,0.453125
0,847,0.6210153482880756
1,92,0.34782608695652173
2,348,0.47126436781609193
3,1208,0.5761589403973509
4,291,0.5360824742268041
