class,counts,accuracy
-1,66,0.10606060606060606
-2,184,0.2717391304347826
-3,249,0.26506024096385544
-4,38,0.0
-5,1,0.0
0,11,0.09090909090909091
1,81,0.2345679012345679
2,315,0.5079365079365079
3,947,0.8099260823653643
4,197,0.19289340101522842
5,1,0.0
